nome,partido,uf,MPV 549/2011,MPV 550/2011,MPV 551/2011,MPV 551/2011,MPV 554/2011,MPV 558/2012,MPV 559/2012,MPV 559/2012,MPV 559/2012,MPV 559/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 563/2012,MPV 566/2012,MPV 566/2012,MPV 566/2012,MPV 567/2012,MPV 567/2012,MPV 567/2012,MPV 570/2012,MPV 571/2012,MPV 571/2012,MPV 571/2012,MPV 574/2012,MPV 574/2012,MPV 574/2012,MPV 575/2012,MPV 576/2012,MPV 579/2012,MPV 579/2012,MPV 579/2012,MPV 579/2012,PDC 514/2011,PEC 153/2003,PEC 153/2003,PEC 270/2008,PEC 416/2005,PEC 416/2005,PEC 438/2001,PEC 445/2009,PEC 471/2005,PEC 478/2010,PEC 478/2010,PL 1876/1999,PL 1876/1999,PL 1992/2007,PL 1992/2007,PL 1992/2007,PL 1992/2007,PL 2330/2011,PL 2330/2011,PL 2330/2011,PL 2565/2011,PL 2565/2011,PL 2565/2011,PL 2793/2011,PL 301/2007,PL 3839/2012,PL 5279/2009,PL 5403/2001,PL 643/2011,PL 865/2011,PLP 114/2011,PLP 230/2004,PLP 362/2006,PLP 579/2010,REQ 1134/2011,REQ 2130/2011,REQ 4504/2012,REQ 4636/2012,REQ 4636/2012,REQ 6062/2012,REQ 6135/2012,REQ 6460/2012,REQ 6461/2012,PEC 471/2005
Osmar Serraglio,PMDB,PR,1,-1,1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,0,1,0,-1,-1,-1,-1,0,1,1,1,1,1,0,1,1,1,1,1,-1,-1,1,-1,0,-1,0,-1,-1,-1,1,1,0,1,1,-1,0,0,1,1,1,0,1,1,0,1,0,1,-1,1,1,1,1
Alex Canziani,PTB,PR,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,0,0,1,-1,-1,0,0,0,0,1,0,-1,-1,-1,-1,0,1,-1,-1,-1,0,0,0,0,0,1,0,0,1,1,1,1,0,-1,-1,0,0,0,0,0,-1,-1,1,1,1,0,1,0,-1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
Luiz Sérgio,PT,RJ,-1,-1,-1,-1,-1,1,-1,0,0,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,1,0,1,-1,-1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,1,0,1,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,1,1,-1,-1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,-1
Jorge Bittar,PT,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0
Alexandre Cardoso,PSB,RJ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jandira Feghali,PCdoB,RJ,-1,0,-1,-1,-1,1,-1,0,0,0,-1,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,0,0,-1,0,0,-1,-1,-1,-1,1,1,-1,-1,0,1,1,0,1,1,1,1,0,1,-1,1,1,1,1,-1
Fátima Bezerra,PT,RN,0,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,-1,-1,0,0,1,-1,1,-1,1,0,-1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,-1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0
Henrique Eduardo Alves,PMDB,RN,1,-1,0,0,-1,0,0,0,-1,1,-1,0,-1,-1,0,-1,1,0,0,0,0,0,0,1,0,-1,-1,-1,-1,1,0,0,1,-1,-1,0,1,1,0,0,0,1,1,0,1,0,0,-1,-1,1,-1,0,-1,0,-1,-1,-1,1,0,-1,0,1,-1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
Marinha Raupp,PMDB,RO,0,0,0,-1,0,1,-1,-1,-1,1,0,-1,0,-1,0,-1,1,0,-1,-1,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,-1,0,1,1,0,1,1,1,-1,1,1,1,1,-1,0,1,-1,-1,0,0,-1,-1,-1,1,1,-1,1,0,-1,0,0,1,0,1,0,0,0,0,1,-1,0,-1,1,1,1,1
Paulo Pimenta,PT,RS,-1,-1,0,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,0,0,-1,-1,-1,0,1,-1,-1,0,0,1,0,1,0,-1,-1,0,-1,-1,1,0,1,1,1,1,1,-1,1,1,1,1,1,0,-1,0,-1,-1,-1,-1,-1,0,-1,1,0,-1,-1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,-1
Henrique Fontana,PT,RS,-1,-1,-1,-1,-1,0,-1,0,-1,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,1,0,-1,0,0,1,-1,1,0,1,-1,-1,0,-1,0,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,-1
Darcísio Perondi,PMDB,RS,-1,0,1,1,0,1,-1,-1,-1,1,-1,0,-1,-1,0,-1,1,-1,0,-1,-1,0,-1,1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,-1,-1,1,-1,-1,-1,0,1,1,-1,1,1,-1,1,0,-1,1,0,1,0,0,1,1,1,1,1,-1,1,1,0,1,1,1
Eliseu Padilha,PMDB,RS,0,-1,1,-1,-1,0,0,-1,-1,1,0,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,1,0,-1,0,0,-1,0,1,1,0,1,0,1,1,1,1,1,1,-1,-1,1,-1,0,-1,0,0,-1,-1,1,1,0,1,1,-1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Beto Albuquerque,PSB,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Luci Choinacki,PT,SC,0,-1,0,0,0,1,0,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,0,0,-1,0,1,1,0,0,-1,1,-1,0,-1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0
Arlindo Chinaglia,PT,SP,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0
João Paulo Cunha,PT,SP,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,1,0,1,1,-1,0,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,-1
José Mentor,PT,SP,0,-1,0,0,-1,1,-1,0,0,1,0,-1,-1,-1,0,0,1,-1,-1,0,-1,0,0,0,-1,-1,-1,1,0,0,1,0,0,0,0,0,-1,0,1,1,1,0,1,0,1,1,0,1,1,1,-1,0,-1,-1,-1,0,-1,0,1,0,1,0,-1,-1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
Devanir Ribeiro,PT,SP,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,0,0,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,0,0,-1,-1,0,0,1,0,-1,-1,0,0,1,1,1,1,0,1,1,0,1,-1,1,1,1,-1
Vicentinho,PT,SP,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,-1,1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,0,0,-1,-1,-1,-1,0,0,1,1,-1,-1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,-1
Arnaldo Faria de Sá,PTB,SP,1,1,1,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,0,-1,1,-1,-1,0,-1,-1,1,-1,0,-1,1,-1,-1,1,1,-1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,1,0,1,0,-1,-1,1,-1,-1,-1,-1,1,-1,0,1,1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,1
Luiza Erundina,PSB,SP,-1,1,-1,0,0,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,1,1,0,0,1,1,-1,1,0,1,-1,-1,-1,-1,1,1,1,0,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,-1
Carlos Sampaio,PSDB,SP,0,0,0,1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,1,0,0,0,-1,1,0,1,1,1,0,0,-1,1,1,1,1,-1,-1,1,1,0,1,1,-1,0,-1,0,1,0,0,0,-1,-1,1,1,1,0,-1,0,1,1,-1,-1,1,0,1,-1
