nome,partido,uf,PDC 141/1991,PDC 256/1993,PDC 44/1984,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PEC 48/1991,PL 1258/1988,PL 149/1991,PL 1491/1991,PL 1491/1991,PL 1491/1991,PL 1909/1991,PL 2801/1992,PL 3387/1992,PL 3497/1993,PL 3519/1993,PL 3610/1993,PL 3610/1993,PL 3716/1993,PL 3716/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3831/1993,PL 3984/1993,PL 4176/1993,PL 4176/1993,PL 4233/1993,PL 4233/1993,PL 4562/1989,PL 4621/1990,PL 73/1991,PL 8/1991,PL 824/1991,PL 824/1991,PL 965/1991
Rita Camata,PMDB,ES,0,1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,0,-1,0,0,1,0,-1,0,-1,0,-1,1,0,1,-1,0,1,0,0,-1,-1,0,0,0,1,-1,-1,0,-1,1,1,0,1
Aldir Cabral,PFL,RJ,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,0,-1,0,1,-1,1,0,0,0,0,-1,-1,0,-1,-1,1,1,0,0,-1,-1,-1,-1,1,1,1
Arolde de Oliveira,PFL,RJ,-1,1,0,1,1,0,-1,-1,-1,-1,0,-1,1,0,1,1,1,-1,0,0,0,1,1,1,0,0,0,1,0,-1,1,-1,1,0,1,-1,-1,-1,-1,0,1,0,0,0,-1,1,0,-1,1,-1,0
Miro Teixeira,PDT,RJ,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,1,1,1,-1,0,1,1,1,1,-1,0,1,1,0,-1,0,-1,-1,1,0,0,1
Rubem Medina,PFL,RJ,0,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,1,0,1,1,1,-1,1,1,1,1,1,1,1,0,1,0,-1,-1,1,0,0,0,1,-1,-1,-1,1,0,1,1,0,0,0,-1,-1,0,0,0,1
Jorge Tadeu Mudalen,PMDB,SP,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,-1,1,0,0,1,0,1,-1,0,0,-1,1,0,0,1,1,1,-1,-1,0,0,0,1,0,0,0,1,1,-1,-1,0,-1,1
José Aníbal,PSDB,SP,0,1,1,1,1,-1,-1,-1,0,0,-1,1,-1,0,1,1,1,-1,1,-1,1,0,1,1,-1,0,1,1,-1,1,1,0,1,0,0,-1,-1,-1,-1,0,0,1,0,1,0,0,-1,1,1,0,1
José Genoíno,PT,SP,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,0,-1,0,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,0,-1,-1,0,-1,0,1,-1,1,-1,1,-1
Marcelo Barbieri,PMDB,SP,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,1,0,-1,0,0,0,0,1,1,-1,0,1,-1,1,1,1,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,1,0,0,1
Luciano Pizzatto,PFL,PR,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,-1,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,0,1,1,0,0,-1,0,0,-1,1,1,1
Werner Wanderer,PFL,PR,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,0,1,0,1,1,-1,-1,-1,1,1,1,1,0,0,0,0,0,1,0,0,-1,0,0,0,-1,1,0,0
Germano Rigotto,PMDB,RS,0,0,0,1,1,-1,-1,0,0,0,0,1,0,-1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,-1,1,0,1,1,0,1,0,-1,-1,0,-1,1,1,1,-1,-1,0,-1,-1,1,-1,1
Paulo Paim,PT,RS,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,1,0,-1,0,-1,1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,0,0,1,-1,-1,1,-1,0,1,-1,0,0,1,0
Fioravante,PT,RS,-1,1,0,1,1,-1,-1,-1,0,0,0,1,-1,1,1,1,1,0,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,1,-1,1,1,1,-1,-1,1,0,-1,-1,0,-1,0,1,-1,1,0,1,-1
Marcos Lima,PMDB,MG,-1,0,0,-1,-1,-1,0,0,-1,0,-1,0,1,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,0,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,0,0,1,-1,0,0,1,-1,-1,1,1,1
Saulo Coelho,PSDB,MG,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,-1,1,-1,0
Socorro Gomes,PCdoB,PA,0,0,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,0,0,0,-1,-1,-1,1,1,1,-1,0,0,1,-1,0,1,0,0,0,1,-1,0,1,-1,1,-1,1,1
Elias Murad,PSDB,MG,-1,1,0,1,1,-1,-1,0,-1,-1,-1,1,1,0,1,1,1,-1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,-1,-1,-1,0,-1,0,0,-1,1,-1,0,-1,-1,1,-1,1
Edmundo Galdino,PSDB,TO,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,0,1,-1,1,0,0,-1,-1,0,0,0,-1,1,1,1,-1,0,0,-1,-1,-1,-1,0,0,0,1,-1,0,1,0,1,-1,1,1
Valdenor Guedes,PP,AP,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,0,-1,0,1,-1,1,1,1,0,1,1,0,1,-1,1,1,1,-1,0,0,0,0,-1,1,0,1,1,0,-1,-1,0,-1,-1,1,1,1
