nome,partido,uf,PDC 141/1991,PDC 82/1991,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 61/1990,PEC 61/1990,PEC 82/1991,PEC 82/1991,PEC 82/1991,PL 1258/1988,PL 1258/1988,PL 1258/1988,PL 1991/1991,PL 202/1991,PL 202/1991,PL 202/1991,PL 2145/1991,PL 2592/1992,PL 2592/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2920/1992,PL 2990/1992,PL 2990/1992,PL 3031/1992,PL 3387/1992,PL 3399/1992,PL 4573/1990,PL 4573/1990,PL 5051/1990,PL 8/1991,PRC 93/1992,PRC 93/1992
Vivaldo Barbosa,PDT,RJ,0,1,0,-1,0,0,-1,-1,0,-1,0,1,1,0,1,1,0,0,1,1,0,0,-1,1,0,1,-1,-1,-1,0,1,0,0,0,0,0,1,0,-1,0,1,1
André Benassi,PSDB,SP,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,0,1,0,0,0,-1,0,0,1,1,-1,1,-1,-1,-1,1,1,1,1,0,0,0,1,-1,1,0,1,1
José Dirceu,PT,SP,0,0,-1,1,-1,0,1,-1,0,1,0,1,1,0,1,1,1,0,0,-1,0,0,-1,1,0,-1,-1,-1,-1,1,1,-1,-1,0,0,1,1,0,0,0,0,-1
Renato Vianna,PMDB,SC,0,1,1,1,1,1,1,0,0,1,-1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,-1,-1,-1,1,1,1,1,1,0,0,1,1,0,0,0,0
Pinheiro Landim,PMDB,CE,0,1,1,1,1,1,0,0,0,1,-1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,-1,-1,0,1,1,0,1,0,1,0,-1,-1,0,0,1
João Henrique,PMDB,PI,1,1,1,1,1,0,1,0,0,1,-1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1,0,1,1
Laíre Rosado,PMDB,RN,0,0,1,1,1,0,1,0,0,1,-1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,-1,-1,-1,1,1,1,1,1,0,0,1,0,0,0,1,1
Efraim Morais,PFL,PB,0,1,1,1,0,1,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,1,0,0,-1,0,1,1,1,1,-1,0,0,1,0,0,0,0,0,1,0,1,1
Haroldo Lima,PCdoB,BA,0,0,-1,-1,-1,0,-1,0,0,0,0,1,1,0,1,0,1,0,0,-1,0,0,0,1,1,0,-1,-1,-1,1,1,-1,0,0,0,0,1,0,0,1,1,1
Jaques Wagner,PT,BA,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,1,0,0,0,-1,0,0,-1,0,0,0,-1,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
