nome,partido,uf,MSC 910/1997,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 33/1995,PEC 472/1997,PEC 472/1997,PEC 526/1997,PL 1164/1991,PL 200/1995,PL 3066/1997,PL 3283/1997,PL 3901/1997,PL 4011/1997,PL 4046/1997,PL 4053/1998,PL 4071/1998,PL 4071/1998,PL 4071/1998,PL 4300/1998,PL 4598/1998,PL 4598/1998,PL 4605/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4606/1998,PL 4769/1998,PL 518/1995,PLP 216/1998,PLP 216/1998,PLP 216/1998,PLP 216/1998
Herculano Anghinetti,PPB,MG,1,1,-1,1,1,0,0,-1,0,0,0,-1,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,0,0,1,-1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,0,0,1,1,1,0,-1,1,-1,0,0,0,0,-1,1,1,1,-1,1,1,-1,1,1,1
Ibrahim Abi-Ackel,PPB,MG,-1,1,-1,1,0,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,-1,-1,0,-1,1,1,-1,1,1,1,0,0,1,-1,0,0,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,0,0,1,1,1,0,-1,1,-1,0,0,0,0,-1,1,1,1,-1,1,0,-1,1,1,1
Márcio Reinaldo Moreira,PPB,MG,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,0,1,-1,-1,-1,0,1,1,-1,1,0,1,1,1,1,0,-1,1,-1,1,0,0,0,-1,1,1,1,-1,1,1,-1,1,1,1
Paulo Delgado,PT,MG,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1,0,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,0,-1,0,1,-1,0,0,0,1,-1,1,1,0,1,-1,-1,-1,0,1,0,1,-1,-1,-1
Fernando Diniz,PMDB,MG,0,1,-1,1,1,-1,-1,0,-1,-1,-1,0,1,1,-1,0,0,0,-1,1,-1,0,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,0,1,1,1,1,0,-1,1,1,-1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,1,0,0,1,0,0,0,-1,1,-1,1,0,0,0,-1,1,1,0,-1,1,0,-1,0,0,0
Silas Brasileiro,PMDB,MG,1,1,-1,1,1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,0,-1,-1,0,-1,-1,1,-1,1,0,0,1,1,1,1,0,0,0,0,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,-1,1,0,0,1,1,1,0,-1,0,-1,0,0,0,0,-1,1,1,1,-1,1,1,-1,1,1,1
Saraiva Felipe,PMDB,MG,0,0,-1,-1,0,-1,-1,1,1,1,1,-1,1,1,-1,1,0,-1,-1,0,1,1,0,1,-1,1,1,1,0,0,0,0,-1,1,-1,0,1,1,1,1,0,-1,1,1,-1,1,0,1,0,0,1,1,0,0,-1,-1,1,-1,1,1,1,1,1,0,1,-1,1,1,0,0,1,1,1,1,1,0,0,-1,1,0,0,0,1,0,1,1,-1,0,1,-1,1,0,-1
Lael Varella,PFL,MG,1,1,-1,1,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,0,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,0,0,1,1,1,1,0,-1,0,-1,1,0,0,0,-1,1,1,1,-1,1,1,-1,1,1,1
José Santana de Vasconcellos,PFL,MG,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,1,-1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,-1,1,1,1,-1,1,1,-1,1,1,1
Narcio Rodrigues,PSDB,MG,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0
Eduardo Barbosa,PSDB,MG,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,0,1,-1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-1,1,0,1,0,0,-1,-1,1,1,1,-1,1,1,0,0,0,0
Vittorio Medioli,PSDB,MG,0,1,-1,1,0,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,1,1,-1,-1,1,-1,-1,0,0,-1,1,1,1,0,1,0,1,0,1,0,0,-1,1,0,0,0,-1,1,0,1,-1,0,1,-1,1,1,1
Osmânio Pereira,PSDB,MG,0,1,-1,1,0,-1,-1,0,-1,0,0,0,1,1,-1,-1,-1,0,-1,1,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,1,0,1,1,0,0,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,1,0,1,1,0,1,0,0,0,-1,1,0,0,0,-1,0,1,1,-1,0,0,-1,0,1,1
