nome,partido,uf,PDC 383/1993,PDC 413/1994,PL 171/1987,PL 3712/1993,PL 4005/1993,PL 4151/1993,PL 4218/1993,PL 4218/1993,PL 4223/1993,PL 4386/1994,PL 4393/1994,PL 4518/1994,PL 4672/1994,PL 4851/1994,PL 4881/1994,PL 68/1991
Átila Lira,PFL,PI,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ubiratan Aguiar,PSDB,CE,-1,0,1,-1,0,1,1,1,0,0,1,0,1,0,0,1
Antônio Geraldo,PFL,PE,1,1,-1,1,0,0,0,1,-1,0,1,0,0,0,0,1
José Múcio Monteiro,PFL,PE,1,0,0,0,0,-1,1,0,-1,0,1,0,0,0,0,0
Sergio Guerra,PSB,PE,-1,0,0,0,0,0,1,1,-1,1,0,0,0,1,1,0
Leur Lomanto,PFL,BA,0,1,-1,-1,0,-1,0,1,0,0,0,0,0,1,1,1
Manoel Castro,PFL,BA,0,1,0,0,0,0,1,1,1,0,1,-1,0,1,1,0
Flávio Arns,PSDB,PR,-1,1,0,-1,-1,1,0,1,1,-1,1,0,0,-1,0,0
Luiz Dantas,PSD,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Luiz Salomão,PDT,RJ,1,-1,0,-1,1,0,0,1,-1,0,1,1,0,0,1,0
Ivandro Cunha Lima,PMDB,PB,1,1,0,0,1,0,0,1,-1,1,1,-1,1,1,1,1
José Luiz Clerot,PMDB,PB,1,1,-1,-1,1,0,-1,0,-1,1,1,-1,1,1,1,0
Wilson Campos,PSDB,PE,-1,1,1,-1,-1,1,0,0,-1,0,1,1,1,1,1,0
Alcides Modesto,PT,BA,-1,1,1,0,-1,1,1,0,-1,0,0,0,0,0,0,1
Ronaldo Perim,PMDB,MG,1,1,-1,-1,1,0,0,1,-1,1,1,1,0,-1,1,0
Sandra Starling,PT,MG,-1,1,0,-1,-1,0,1,1,-1,0,-1,1,0,0,0,1
Israel Pinheiro,PTB,MG,-1,1,0,-1,0,0,1,1,1,0,0,0,0,0,0,0
Cidinha Campos,PDT,RJ,1,0,1,-1,0,0,-1,-1,0,0,0,1,0,0,0,1
Leopoldo Bessone,PTB,MG,0,0,0,0,0,-1,0,0,0,0,1,0,0,1,1,0
Paulo Heslander,PTB,MG,-1,1,0,-1,-1,1,0,0,-1,0,1,0,0,1,-1,1
Philemon Rodrigues,PTB,MG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Zaire Rezende,PMDB,MG,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,1,1,1
Roberto Valadão,PMDB,ES,1,1,0,-1,0,0,1,1,-1,0,1,-1,0,0,-1,0
Sergio Arouca,PPS,RJ,0,1,0,0,1,1,0,1,-1,1,1,1,1,-1,0,1
Fábio Feldmann,PSDB,SP,-1,1,0,-1,0,1,0,1,0,0,0,-1,1,0,1,0
Hélio Bicudo,PT,SP,-1,1,0,0,-1,0,0,1,-1,0,-1,0,0,0,0,0
Koyu Iha,PSDB,SP,-1,0,1,0,0,0,1,0,-1,1,1,0,0,0,1,0
Luiz Gushiken,PT,SP,-1,1,1,-1,0,1,0,0,-1,0,0,1,0,0,0,0
Maluly Netto,PFL,SP,1,1,-1,-1,0,-1,1,0,0,0,1,1,0,1,1,1
Maurício Najar,PFL,SP,0,1,-1,-1,0,0,1,1,0,1,1,0,1,-1,1,1
