nome,partido,uf,MSF 151/2011,PEC 5/2012,PEC 5/2012,PEC 5/2012,PLC 40/2010,PLC 40/2010,PRS 72/2010,PRS 72/2010,PRS 72/2010,PRS 72/2010,PLV 7/2012,PLV 8/2012,PLC 10/2012,PLV 13/2012,PEC 86/2007,PEC 103/2011,PEC 103/2011,PEC 86/2007,PLS 198/2007,PLS 198/2007,PEC 33/2009,PLS 652/2011,PLS 652/2011,PEC 82/2011,PEC 82/2011,PEC 63/2011,PEC 65/2011,PEC 65/2011,PLV 16/2012,PEC 34/2012,PEC 34/2012,PLC 32/2012,PLC 32/2012,PEC 65/2011,PLV 26/2012,PLV 30/2012,Coeficiente governista
Angela Portela,PT,   RR   ,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1.61E-001
Eduardo Suplicy,PT,   SP   ,-1,0,0,0,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,0,1,1,1,-1,1.66E-001
Paulo Paim,PT,   RS   ,-1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,0,0,-1,1.70E-001
Walter Pinheiro,PT,   BA   ,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1.85E-001
Antonio Carlos Valadares,PSB,   SE   ,-1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,-1,1,1,1,0,1,1,-1,1.37E-001
João Capiberibe,PSB,   AP   ,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1.38E-001
Rodrigo Rollemberg,PSB,   DF   ,-1,0,0,0,1,1,1,1,1,1,0,1,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1.49E-001
Lídice da Mata,PSB,   BA   ,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1.68E-001
Paulo Davim,PV,   RN   ,1,1,1,1,0,0,-1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,0,-1,1.54E-001
Vanessa Grazziotin,PCdoB,   AM   ,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1.56E-001
Inácio Arruda,PCdoB,   CE   ,-1,1,1,1,1,1,-1,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,-1,1.67E-001
Eduardo Lopes,PRB,   RJ   ,-1,1,0,0,1,1,0,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,1,-1,1.62E-001
